coreproject,pmid,applid
F32AA005464,9882423,2000117
F32AA005486,18604523,2000137
R15AA016082,18604523,7194340
U24AA013641,18604523,10772118
P20RR016461,18604523,8142957
P20GM103499,18604523,8306653
R15AA013259,18604523,6357786
U01AA013641,18604523,8797285
R01AA012400,12436066,6509044
S06RR008139,1648928,3565602
R01AA006548,1608507,2000159
S06RR008139,2813555,3565602
R01AA006548,2854190,2000159
R01AA005931,2804635,3109207
R01NS030255,9798936,8029505
S06GM008139,8394163,2167343
S06GM008139,8214431,2167343
R03AA008727,1382392,2044778
R01AA005828,1860062,2043346
R01AA006548,1860062,2000159
S06GM008139,9394128,2167343
R01AA006548,10988286,2000159
R01AA005931,1608507,3109207
R01AA006548,2804635,2000159
R01AA006548,9394128,2000159
R01AA006548,9798936,2000159
R29NS030255,9798936,2268316
R01AA008990,9262372,6627903
S06RR008139,8214431,3565602
R01AA006548,8214431,2000159
S06GM008139,1860062,2167343
S06RR008139,2154712,3565602
R01AA006548,12436066,2000159
R01AA006548,11502147,2000159
R01AA006548,11099785,2000159
R01AI025555,11099785,2063002
R01AA006759,2813555,3110104
S06GM008139,2813555,2167343
S06RR008139,2804635,3565602
R01AA006548,2840094,2000159
S06GM008139,2840094,2167343
F32NS008447,8394163,3055078
S06GM008139,8094641,2167343
R01AA006548,8094641,2000159
R01AA006548,2679215,2000159
R01AA006548,2684213,2000159
R01AA006548,2813555,2000159
S06GM008139,2804635,2167343
S06RR008139,2840094,3565602
R01AA006548,8394163,2000159
S06RR008139,8394163,3565602
S06GM008139,1648928,2167343
R01AA006548,1382392,2000159
S06RR008139,9136052,3565602
R01AA008219,9435185,2044363
S06GM008139,2679215,2167343
S06RR008139,2679215,3565602
S06RR008139,8094641,3565602
R01AA011333,12436066,6497156
R01AA011336,9798936,6497157
R01AA006548,10832913,2000159
R01AA006548,9262372,2000159
R01AA006548,9136052,2000159
S06GM008139,9136052,2167343
R01AA005931,2679215,3109207
R01AA007207,2684213,2043730
S06GM008139,2854190,2167343
S06RR008139,2854190,3565602
S06RR008139,9394128,3565602
R01AA006548,9435185,2000159
S06RR008139,1860062,3565602
R01AA006548,2154712,2000159
S06GM008139,2154712,2167343
R01AA007207,1382392,2043730
S06RR008139,1346364,3565602
R01AA006548,1346364,2000159
S06GM008139,1346364,2167343
R01AA006548,1648928,2000159
R01AA006548,3395460,2000159
R03AA012635,11502147,6362197
R01AA006548,9835293,2000159
R01DK045213,8649193,2144412
R01AA008029,8649193,2000228
R01AA008029,1375447,2000228
R01AA008029,7515010,2000228
R01AA008029,1626646,2000228
R01AA008029,2264604,2000228
R01AA006639,7515010,2043522
R01AA008029,7519654,2000228
R01AA006639,7519654,2043522
R01AA008029,8979253,2000228
R01AA006639,8979253,2043522
R01AA006639,2264604,2043522
R01AA008029,9041115,2000228
R01AA008029,8751993,2000228
R01AA006639,8649193,2043522
R01AA006639,1375447,2043522
R01AA006639,8751993,2043522
R01AA009191,9522174,2000278
R03DE010538,17389930,2131429
R01AA009191,9590510,2000278
R01AA009191,9726284,2000278
R01AA009191,16244708,2000278
R01AA009191,9015392,2000278
R01AA009191,17389930,2000278
R01AA009719,9707176,2000312
R01AA009719,9426294,2000312
R01AA009719,8884211,2000312
R01AA009719,9309312,2000312
R01HL059257,9707176,6184290
R01AA008857,9426294,2044884
R01AA010121,9554431,2000365
P60AA007611,11041542,7152590
M01RR006022,10360140,6639847
M01RR000125,10360140,6963130
R01DK027121,8897466,7920638
R01NS032518,10360140,6187925
R01DK049230,10360140,8640915
R01NS034813,10360140,6780929
P01HD032573,8897466,7659699
R01AA010121,15465973,2000365
R01AA010121,12888778,2000365
K02AA000261,15465973,6604019
R01AA010121,10360140,2000365
R29NS032126,10360140,2703017
R01AA010121,8897466,2000365
R01AA012308,12888778,6532368
P50AA007611,11041542,6475544
P50AA012870,12888778,10837125
K02AA000261,12888778,6604019
R01AA012308,15465973,6532368
P50AA012870,15465973,10837125
R01AA010121,11041542,2000365
R01DK058895,12800103,8081822
R01AG007988,10331423,6043025
R01AG007988,8971073,6043025
R01AA010221,10381155,2000387
R01AA010221,10467608,2000387
M01RR000349,10480616,6453595
R01AG007988,10102701,6043025
R01AG007988,8779946,6043025
R01AG007988,8786729,6043025
R01AA010221,8786729,2000387
R01AG007988,8729171,6043025
R01AA010221,9276727,2000387
R01AG007988,9276727,6043025
R01AA010221,10319860,2000387
M01RR000349,10319860,6453595
R01AG007988,10381155,6043025
R01AG007988,10078559,6043025
R01AA010221,10480616,2000387
R01AA010221,10102701,2000387
R01AA010221,9133565,2000387
R01AA010221,8971073,2000387
R01AA010221,7556964,2000387
R01AA010221,10937517,2000387
R01AA010221,8729171,2000387
R01AA010221,9283800,2000387
R01AG007988,11120655,6043025
R01AA010221,9753299,2000387
R01AA010221,9927497,2000387
R01AA010221,12800103,2000387
R01AG007988,7556964,6043025
M01RR000349,7556964,6453595
R01AG007988,9283800,6043025
M01RR000349,10381155,6453595
R01AG007988,10480616,6043025
R01AG007988,10319860,6043025
R01AG007988,9753299,6043025
R01AG007988,9450985,6043025
R01AA010221,9450985,2000387
R01AG007988,9661605,6043025
R01AA010221,9661605,2000387
M01RR000349,8729171,6453595
M01RR000349,8770017,6453595
M01RR000349,8779946,6453595
R01AA010221,8784108,2000387
R01AA010221,8690150,2000387
R01AA010221,11250769,2000387
R01AG007988,11289046,6043025
R01AA010221,9822487,2000387
R01AG007988,9927497,6043025
R01AG007988,9133565,6043025
R01AG007988,8690150,6043025
R01AA010221,10354364,2000387
R01AG007988,10467608,6043025
R01AA010221,10528363,2000387
R01AG007988,10528363,6043025
R01AG014098,11250769,6353934
R01AG007988,11423483,6043025
R01AA010221,11423483,2000387
R01AA010221,11289046,2000387
R01AA010221,11120655,2000387
R01AG014098,11120655,6353934
R01AG007988,10937517,6043025
K07HL002658,10331423,2210327
R01AA010221,10331423,2000387
R01AA010221,10078559,2000387
R01AG007988,8770017,6043025
R01AA010221,8770017,2000387
R01AA010221,8779946,2000387
M01RR000095,9194907,7567808
R01AA010433,9194907,2000424
R01AA010433,9521628,2000424
R01AA010433,8961951,2000424
R01AA010433,9357955,2000424
R01AA010583,11899071,2748446
M01RR000095,9357955,7567808
